x,y,z,time,energy
-290.660, -307.380, -176.690, 2224.931, 1.466
-290.660, -307.380, -193.710, 2132.661, 1.103
-290.660, -307.380, -210.730, 2167.320, 2.060
-290.660, -307.380, -227.750, 2133.716, 1.149
-290.660, -307.380, -261.790, 2216.224, 4.434
-290.660, -307.380, -278.810, 2453.494, 1.245
-290.660, -307.380, -295.830, 2941.062, 0.900
-290.660, -307.380, -346.890, 2708.304, 1.416
-290.660, -307.380, -363.910, 2141.570, 1.009
-166.400, -287.790, -132.110, 1829.649, 4.810
-166.400, -287.790, -149.130, 1726.051, 5.315
-166.400, -287.790, -166.150, 1601.274, 11.976
-166.400, -287.790, -183.180, 1538.027, 11.618
-166.400, -287.790, -200.200, 1422.514, 17.226
-166.400, -287.790, -217.220, 1362.619, 10.117
-166.400, -287.790, -234.240, 1334.285, 48.077
-166.400, -287.790, -251.260, 1340.976, 20.006
-166.400, -287.790, -268.280, 1374.822, 14.101
-166.400, -287.790, -285.300, 1460.815, 2.649
-166.400, -287.790, -302.320, 1601.914, 7.858
-166.400, -287.790, -319.340, 2097.892, 2.234
-166.400, -287.790, -336.360, 1724.858, 3.861
-166.400, -287.790, -421.340, 2308.139, 0.415
-43.270, -267.520, -129.640, 1954.200, 1.102
-43.270, -267.520, -163.680, 1484.508, 3.758
-43.270, -267.520, -180.710, 1293.193, 1.415
-43.270, -267.520, -197.730, 1337.602, 5.523
-43.270, -267.520, -214.750, 1227.636, 7.488
-43.270, -267.520, -231.770, 1170.196, 3.552
-43.270, -267.520, -248.790, 1137.912, 8.661
-43.270, -267.520, -265.810, 1120.649, 6.462
-43.270, -267.520, -282.830, 1236.940, 7.526
-43.270, -267.520, -299.850, 1442.130, 2.932
-43.270, -267.520, -316.870, 1398.515, 4.851
-43.270, -267.520, -333.890, 1935.396, 1.280
-43.270, -267.520, -350.910, 1543.566, 3.215
-43.270, -267.520, -367.930, 2087.729, 0.668
-43.270, -267.520, -384.950, 1840.220, 0.360
-43.270, -267.520, -401.980, 2039.925, 0.479
-43.270, -267.520, -436.020, 1918.676, 0.895
79.410, -248.240, -147.880, 1720.049, 0.362
79.410, -248.240, -181.930, 2059.620, 0.418
79.410, -248.240, -232.990, 1551.632, 1.572
79.410, -248.240, -284.050, 1188.700, 5.817
79.410, -248.240, -301.070, 2006.540, 0.368
79.410, -248.240, -318.090, 1322.650, 2.031
79.410, -248.240, -335.110, 1713.448, 1.657
79.410, -248.240, -352.130, 1443.105, 1.684
79.410, -248.240, -386.170, 1853.898, 2.562
79.410, -248.240, -403.200, 3744.796, 0.911
210.470, -209.770, -268.990, 1692.510, 0.587
210.470, -209.770, -286.010, 1783.380, 2.208
210.470, -209.770, -303.030, 1388.877, 0.275
210.470, -209.770, -320.050, 2032.852, 2.963
210.470, -209.770, -354.090, 2229.251, 1.220
210.470, -209.770, -371.110, 1996.978, 1.791
326.850, -209.070, -284.530, 2019.835, 0.626
326.850, -209.070, -301.550, 1724.773, 1.049
326.850, -209.070, -318.570, 3585.566, 0.689
326.850, -209.070, -352.610, 2407.770, 1.978
326.850, -209.070, -386.650, 2098.288, 0.162
326.850, -209.070, -403.680, 1939.398, 1.264
443.590, -194.180, -281.300, 2799.305, 0.825
-492.430, -230.160, -166.200, 3304.017, 1.866
-492.430, -230.160, -183.230, 3988.594, 1.621
-492.430, -230.160, -217.270, 3830.554, 1.790
-492.430, -230.160, -336.410, 4831.506, 1.194
-368.930, -210.230, -112.210, 3795.600, 1.018
-368.930, -210.230, -129.230, 2628.508, 1.050
-368.930, -210.230, -146.250, 2428.386, 10.707
-368.930, -210.230, -163.270, 2375.576, 9.896
-368.930, -210.230, -180.300, 2239.495, 19.673
-368.930, -210.230, -197.320, 2234.388, 18.283
-368.930, -210.230, -214.340, 2235.562, 19.713
-368.930, -210.230, -231.360, 2247.071, 9.437
-368.930, -210.230, -248.380, 2379.533, 2.001
-368.930, -210.230, -265.400, 2517.613, 1.712
-368.930, -210.230, -282.420, 2664.108, 3.718
-368.930, -210.230, -299.440, 3019.750, 0.859
-368.930, -210.230, -316.460, 2539.740, 2.057
-368.930, -210.230, -350.500, 2900.232, 1.759
-368.930, -210.230, -401.570, 2654.212, 1.382
-368.930, -210.230, -418.590, 3248.606, 0.953
-245.650, -190.490, -110.880, 2320.972, 4.428
-245.650, -190.490, -127.900, 2069.858, 5.693
-245.650, -190.490, -144.920, 2012.898, 10.630
-245.650, -190.490, -161.950, 1877.996, 28.550
-245.650, -190.490, -178.970, 1813.894, 39.058
-245.650, -190.490, -195.990, 1759.558, 49.204
-245.650, -190.490, -213.010, 1711.550, 74.478
-245.650, -190.490, -230.030, 1684.704, 64.767
-245.650, -190.490, -247.050, 1713.036, 61.637
